anno,settimana,incidenza,numero_casi,numero_assistiti,target
2016,42,0.59,711,1195202,ILI
2016,43,0.71,910,1278606,ILI
2016,44,0.81,1084,1337438,ILI
2016,45,0.98,1340,1368032,ILI
2016,46,1.25,1726,1378292,ILI
2016,47,1.58,2178,1376418,ILI
2016,48,2,2727,1362363,ILI
2016,49,2.52,3447,1369108,ILI
2016,50,4.31,6080,1410698,ILI
2016,51,7.24,9781,1351057,ILI
2016,52,9.57,13051,1364195,ILI
2017,1,9.09,12178,1340131,ILI
2017,2,8.7,11961,1374557,ILI
2017,3,7.61,10486,1377649,ILI
2017,4,6.61,8996,1360334,ILI
2017,5,5.64,7649,1357172,ILI
2017,6,4.25,5652,1328704,ILI
2017,7,3.19,4203,1315730,ILI
2017,8,2.64,3437,1303076,ILI
2017,9,2.19,2785,1274081,ILI
2017,10,1.76,2219,1261984,ILI
2017,11,1.48,1848,1246411,ILI
2017,12,1.24,1525,1226681,ILI
2017,13,1.04,1214,1166026,ILI
2017,14,0.87,1007,1152973,ILI
2017,15,0.69,747,1082410,ILI
2017,16,0.58,566,977887,ILI
2017,17,0.56,392,702654,ILI
2017,42,0.89,1194,1339814,ILI
2017,43,0.85,1147,1347928,ILI
2017,44,0.95,1273,1345992,ILI
2017,45,1.24,1680,1356139,ILI
2017,46,1.6,2204,1379471,ILI
2017,47,1.85,2553,1378704,ILI
2017,48,2.38,3294,1383958,ILI
2017,49,3.11,4305,1382389,ILI
2017,50,4.74,6571,1386974,ILI
2017,51,7.21,10017,1389974,ILI
2017,52,11.45,15720,1372341,ILI
2018,1,13.8,18925,1371803,ILI
2018,2,14.73,20407,1385719,ILI
2018,3,13.87,19155,1380695,ILI
2018,4,12.69,17390,1370445,ILI
2018,5,10.72,14555,1357527,ILI
2018,6,8.97,12028,1341635,ILI
2018,7,7.12,9464,1328953,ILI
2018,8,6.24,8181,1310756,ILI
2018,9,4.74,6143,1294863,ILI
2018,10,3.62,4630,1277805,ILI
2018,11,2.63,3299,1256023,ILI
2018,12,2.15,2654,1233288,ILI
2018,13,1.73,2053,1189607,ILI
2018,14,1.32,1536,1163184,ILI
2018,15,1.11,1223,1099045,ILI
2018,16,0.89,894,1003664,ILI
2018,17,0.64,548,857944,ILI
2018,42,0.79,1088,1383696,ILI
2018,43,0.95,1319,1393870,ILI
2018,44,1.01,1421,1409120,ILI
2018,45,1.47,2073,1408965,ILI
2018,46,1.77,2529,1425042,ILI
2018,47,2.13,3031,1426304,ILI
2018,48,2.38,3405,1430097,ILI
2018,49,2.75,3922,1425673,ILI
2018,50,3.31,4723,1428727,ILI
2018,51,3.71,5266,1418940,ILI
2018,52,4.26,5897,1384353,ILI
2019,1,5.72,8041,1405198,ILI
2019,2,7.62,10907,1430734,ILI
2019,3,10.04,14269,1421136,ILI
2019,4,12.47,17714,1421086,ILI
2019,5,14.06,19893,1415062,ILI
2019,6,13.26,18664,1407883,ILI
2019,7,11.2,15613,1394174,ILI
2019,8,9.04,12457,1378714,ILI
2019,9,6.57,8976,1365823,ILI
2019,10,4.79,6424,1342497,ILI
2019,11,3.69,4855,1316556,ILI
2019,12,2.91,3745,1285491,ILI
2019,13,2.38,2994,1255687,ILI
2019,14,1.96,2318,1183747,ILI
2019,15,1.58,1722,1092580,ILI
2019,16,1.27,1223,962102,ILI
2019,17,0.95,747,790242,ILI
2022,42,4.4,7925,1799226,ILI
2022,43,4.54,8121,1787204,ILI
2022,44,5.2,9405,1808237,ILI
2022,45,6.99,12975,1856939,ILI
2022,46,9.67,18385,1900514,ILI
2022,47,13.04,24953,1913683,ILI
2022,48,15.72,30169,1919494,ILI
2022,49,15.63,30597,1957394,ILI
2022,50,15.33,30107,1963837,ILI
2022,51,14.03,27456,1957549,ILI
2022,52,12.32,23868,1938027,ILI
2023,1,10.74,20698,1926449,ILI
2023,2,10.3,20426,1983114,ILI
2023,3,9.26,18202,1966688,ILI
2023,4,8.78,17092,1947201,ILI
2023,5,8.54,16637,1948426,ILI
2023,6,8.25,15956,1934415,ILI
2023,7,8.07,15555,1926738,ILI
2023,8,8.1,15461,1908078,ILI
2023,9,7.48,14065,1880329,ILI
2023,10,6.9,12744,1847055,ILI
2023,11,5.99,10895,1819421,ILI
2023,12,5.7,10079,1768463,ILI
2023,13,5.13,8922,1737511,ILI
2023,14,4.63,7693,1662080,ILI
2023,15,4.44,6961,1569317,ILI
2023,16,4.11,5871,1426858,ILI
2023,17,3.46,4061,1174136,ILI
2023,42,4.95,10178,2057381,ILI
2023,43,5.18,10691,2063669,ILI
2023,44,5.57,11522,2069209,ILI
2023,45,6.91,14626,2117495,ILI
2023,46,8.25,17871,2165733,ILI
2023,47,9.73,21359,2194822,ILI
2023,48,11.53,25531,2213878,ILI
2023,49,12.56,28003,2229316,ILI
2023,50,15.78,35296,2236057,ILI
2023,51,18.21,39919,2191901,ILI
2023,52,18.45,39887,2162347,ILI
2024,1,16.98,36751,2164324,ILI
2024,2,14.35,31514,2196039,ILI
2024,3,11.86,25846,2179898,ILI
2024,4,9.9,21375,2159059,ILI
2024,5,8.94,19094,2136536,ILI
2024,6,8.1,17189,2123233,ILI
2024,7,7.16,15065,2103717,ILI
2024,8,6.99,14537,2079125,ILI
2024,9,6.44,13172,2045273,ILI
2024,10,6.08,12271,2017907,ILI
2024,11,5.81,11540,1986706,ILI
2024,12,5.62,10997,1957860,ILI
2024,13,5.1,9627,1889179,ILI
2024,14,4.69,8649,1842586,ILI
2024,15,4.62,8008,1734955,ILI
2024,16,4.5,7047,1565542,ILI
2024,17,3.83,4644,1211066,ILI
2024,42,5.948117102,13701,2303418,ILI
2024,43,5.84844188,13508,2309675,ILI
2024,44,5.557581115,12926,2325832,ILI
2024,45,6.819508312,16089,2359261,ILI
2024,46,7.398878638,17646,2384956,ILI
2024,47,8.030850892,19236,2395263,ILI
2024,48,8.5467185,20400,2386881,ILI
2024,49,9.045844627,21637,2391927,ILI
2024,50,10.18556822,24376,2393190,ILI
2024,51,10.74047243,25545,2378387,ILI
2024,52,10.52518239,24340,2312549,ILI
2025,1,12.36973079,28972,2342169,ILI
2025,2,14.95050245,35812,2395371,ILI
2025,3,16.05115954,38365,2390170,ILI
2025,4,17.3743082,41370,2381102,ILI
2025,5,16.82305557,40006,2378046,ILI
2025,6,15.25690658,36009,2360177,ILI
2025,7,14.23493301,33438,2349010,ILI
2025,8,13.06582372,30591,2341299,ILI
2025,9,11.31462622,26321,2326281,ILI
2025,10,9.792438067,22514,2299121,ILI
2025,11,8.662448647,19755,2280533,ILI
2025,12,7.489066894,16885,2254620,ILI
2025,13,6.901162951,15255,2210497,ILI
2025,14,6.12650439,13103,2138740,ILI
2025,15,5.753747773,11821,2054487,ILI
2025,16,4.889440148,8909,1822090,ILI
2025,17,3.751230194,5706,1521101,ILI
